,feature,importance
105,entropy_of_contacts__weekday__allday__call,0.06553820073154122
106,entropy_of_contacts__weekday__allday__text,0.11272253715861077
107,entropy_of_contacts__weekday__day__text,0.050090970911172594
108,entropy_of_contacts__weekday__night__call,-0.09806923007291268
109,entropy_of_contacts__weekday__night__text,0.07357563858335606
110,entropy_of_contacts__weekend__allday__call,-0.012488308635495774
111,entropy_of_contacts__weekend__allday__text,-0.06971815823957893
112,balance_of_contacts__allweek__allday__call__skewness,-0.08582265040950578
113,balance_of_contacts__allweek__allday__call__max,-0.04020950016203022
114,balance_of_contacts__allweek__allday__text__mean,-0.3405786185064079
115,balance_of_contacts__allweek__allday__text__std,0.03611269963914215
116,balance_of_contacts__allweek__allday__text__min,0.10924543793200775
117,balance_of_contacts__allweek__day__call__std,-0.050657929482666224
118,balance_of_contacts__allweek__day__call__skewness,-0.10528914402047079
119,balance_of_contacts__allweek__day__call__kurtosis,-0.11898858310126731
120,balance_of_contacts__allweek__day__call__min,0.1419517881319952
121,balance_of_contacts__allweek__day__text__min,0.05364640851150525
122,balance_of_contacts__allweek__day__text__max,0.14467926715244586
123,balance_of_contacts__allweek__night__call__skewness,-0.22842271760257707
124,balance_of_contacts__allweek__night__call__min,-0.19727614711082236
125,balance_of_contacts__allweek__night__call__max,0.07205075488556217
126,balance_of_contacts__allweek__night__text__mean,0.0025727793201849453
127,balance_of_contacts__allweek__night__text__std,0.3066068814763621
128,balance_of_contacts__allweek__night__text__median,0.011031551284532924
129,balance_of_contacts__allweek__night__text__skewness,-0.06591807251327132
130,balance_of_contacts__allweek__night__text__min,0.15218952908955652
131,balance_of_contacts__weekday__allday__call__mean,-0.24455010212945294
132,balance_of_contacts__weekday__allday__call__std,-0.11041018600306776
133,balance_of_contacts__weekday__allday__call__median,0.16819686659934965
134,balance_of_contacts__weekday__allday__text__mean,-0.15103705566846848
135,balance_of_contacts__weekday__allday__text__std,-0.344471886922629
136,balance_of_contacts__weekday__allday__text__median,-0.22111691921835333
137,balance_of_contacts__weekday__day__call__std,0.2476316546371618
138,balance_of_contacts__weekday__day__call__median,0.25912380591892104
139,balance_of_contacts__weekday__day__call__min,0.043366866799988704
140,balance_of_contacts__weekday__day__text__mean,0.060942616986475115
141,balance_of_contacts__weekday__day__text__median,0.31692937238752067
142,balance_of_contacts__weekday__day__text__kurtosis,0.06486242134858669
143,balance_of_contacts__weekday__day__text__min,-0.10410039314199307
144,balance_of_contacts__weekday__night__call__mean,0.022715002326520035
145,balance_of_contacts__weekday__night__call__std,0.08267549829190501
146,balance_of_contacts__weekday__night__call__skewness,-0.03783420846620083
147,balance_of_contacts__weekday__night__call__max,-0.24998424258928217
148,balance_of_contacts__weekday__night__text__mean,-0.020052122989601583
149,balance_of_contacts__weekday__night__text__std,0.2809908266983523
150,balance_of_contacts__weekday__night__text__median,-0.0638974989013492
151,balance_of_contacts__weekday__night__text__kurtosis,-0.20957435281190537
152,balance_of_contacts__weekday__night__text__min,-0.002328748823163672
153,balance_of_contacts__weekend__allday__call__std,0.025339647600294127
154,balance_of_contacts__weekend__allday__call__skewness,0.012227859074162913
155,balance_of_contacts__weekend__allday__call__kurtosis,0.17251468158453442
156,balance_of_contacts__weekend__allday__text__std,-0.06072051409232577
157,balance_of_contacts__weekend__allday__text__median,-0.07009546710889883
158,balance_of_contacts__weekend__allday__text__kurtosis,0.24462384175030327
159,balance_of_contacts__weekend__day__call__std,-0.07427119260617751
160,balance_of_contacts__weekend__day__call__kurtosis,0.06807841400737501
161,balance_of_contacts__weekend__day__call__min,0.019130308988621152
162,balance_of_contacts__weekend__day__text__mean,0.07543113822242704
163,balance_of_contacts__weekend__day__text__std,0.07269584557309539
164,balance_of_contacts__weekend__day__text__median,0.20191449729971453
165,balance_of_contacts__weekend__day__text__min,-0.06500456920485678
166,balance_of_contacts__weekend__day__text__max,-0.29642187577061846
167,balance_of_contacts__weekend__night__call__mean,0.042906920644050224
168,balance_of_contacts__weekend__night__call__std,0.24443608791114457
169,balance_of_contacts__weekend__night__call__skewness,-0.1962105006669422
170,balance_of_contacts__weekend__night__call__kurtosis,0.19193558376042436
171,balance_of_contacts__weekend__night__text__median,0.09090494094982135
172,balance_of_contacts__weekend__night__text__skewness,-0.10871803466450905
173,balance_of_contacts__weekend__night__text__kurtosis,-0.14577620648497921
174,balance_of_contacts__weekend__night__text__min,0.05471468621612733
175,interactions_per_contact__allweek__allday__call__skewness,-0.15883439254527457
176,interactions_per_contact__allweek__allday__text__skewness,0.00391546003528792
177,interactions_per_contact__allweek__allday__text__kurtosis,0.1322897590791514
178,interactions_per_contact__allweek__allday__text__min,-0.1708418786765803
179,interactions_per_contact__allweek__day__call__std,0.0037369583774532265
180,interactions_per_contact__allweek__day__call__median,-0.22661410175795102
181,interactions_per_contact__allweek__day__text__mean,0.03125148835694603
182,interactions_per_contact__allweek__day__text__std,0.03588862460691644
183,interactions_per_contact__allweek__day__text__median,-0.05445057067934634
184,interactions_per_contact__allweek__day__text__max,-0.07287746583490995
185,interactions_per_contact__allweek__night__call__std,0.1716271617373204
186,interactions_per_contact__allweek__night__call__skewness,-0.26701550972152993
187,interactions_per_contact__allweek__night__call__kurtosis,0.129609150967994
188,interactions_per_contact__allweek__night__text__mean,-0.1560624575241818
189,interactions_per_contact__allweek__night__text__median,-0.059232191158170536
190,interactions_per_contact__allweek__night__text__min,-0.03105861166960451
191,interactions_per_contact__allweek__night__text__max,0.19514409298514915
192,interactions_per_contact__weekday__allday__call__skewness,-0.20763403399053001
193,interactions_per_contact__weekday__allday__call__kurtosis,-0.07606991310051388
194,interactions_per_contact__weekday__allday__call__max,-0.08691539491544346
195,interactions_per_contact__weekday__allday__text__std,-0.15050319683055582
196,interactions_per_contact__weekday__allday__text__kurtosis,0.09557794915812648
197,interactions_per_contact__weekday__allday__text__max,-0.32099955033923194
198,interactions_per_contact__weekday__day__call__mean,0.11015569493280469
199,interactions_per_contact__weekday__day__call__std,0.19467485411920363
200,interactions_per_contact__weekday__day__call__kurtosis,0.15141875129790114
201,interactions_per_contact__weekday__day__text__median,0.0015528889610833864
202,interactions_per_contact__weekday__day__text__kurtosis,0.0624270337833475
203,interactions_per_contact__weekday__day__text__min,-0.1763394427683672
204,interactions_per_contact__weekday__night__call__mean,0.24760357924095683
205,interactions_per_contact__weekday__night__call__std,0.17934338879151937
206,interactions_per_contact__weekday__night__call__median,0.10142290354457134
207,interactions_per_contact__weekday__night__call__skewness,0.19574750055413598
208,interactions_per_contact__weekday__night__text__mean,0.09176964309654641
209,interactions_per_contact__weekday__night__text__std,0.05002248349070478
210,interactions_per_contact__weekday__night__text__skewness,0.08524060831316041
211,interactions_per_contact__weekend__allday__call__mean,0.0663612742096253
212,interactions_per_contact__weekend__allday__call__std,0.1596574784766249
213,interactions_per_contact__weekend__allday__call__skewness,-0.2033748377510958
214,interactions_per_contact__weekend__allday__call__kurtosis,0.09701633482942952
215,interactions_per_contact__weekend__allday__call__max,0.15387444037357775
216,interactions_per_contact__weekend__allday__text__median,-0.0479655461584963
217,interactions_per_contact__weekend__allday__text__skewness,0.384929597782354
218,interactions_per_contact__weekend__day__call__mean,0.003034390640388879
219,interactions_per_contact__weekend__day__call__std,0.02275117299270847
220,interactions_per_contact__weekend__day__call__kurtosis,-0.013003238802899811
221,interactions_per_contact__weekend__day__call__min,-0.007509725537347568
222,interactions_per_contact__weekend__day__text__std,-0.08937693679839855
223,interactions_per_contact__weekend__day__text__skewness,-0.23674329063766672
224,interactions_per_contact__weekend__day__text__min,0.09097577036364388
225,interactions_per_contact__weekend__day__text__max,0.22031476416692267
226,interactions_per_contact__weekend__night__call__mean,0.06844366696297981
227,interactions_per_contact__weekend__night__call__std,-0.2222220466468862
228,interactions_per_contact__weekend__night__call__min,0.11747396945728601
229,interactions_per_contact__weekend__night__call__max,0.08952634415717738
230,interactions_per_contact__weekend__night__text__median,0.15888011502976657
231,interevent_time__allweek__allday__call__median,0.10151326451290121
232,interevent_time__allweek__allday__call__kurtosis,0.07293118339831638
233,interevent_time__allweek__allday__call__min,-0.19090096648519445
234,interevent_time__allweek__allday__text__median,0.030535526580136224
235,interevent_time__allweek__allday__text__skewness,-0.15047617850360623
236,interevent_time__allweek__allday__text__kurtosis,-0.15815819774127418
237,interevent_time__allweek__day__call__skewness,-0.01894140090087597
238,interevent_time__allweek__day__call__kurtosis,-0.12071985327325896
239,interevent_time__allweek__day__call__max,0.10672984393257577
240,interevent_time__allweek__day__text__mean,-0.22857670904230554
241,interevent_time__allweek__day__text__skewness,-0.016172683095245086
242,interevent_time__allweek__day__text__kurtosis,-0.02431595702819723
243,interevent_time__allweek__day__text__min,-0.09133522424814405
244,interevent_time__allweek__night__call__mean,0.15076324532280186
245,interevent_time__allweek__night__call__kurtosis,0.38166258583942586
246,interevent_time__allweek__night__text__mean,0.04975871682971534
247,interevent_time__allweek__night__text__median,-0.13236186934831334
248,interevent_time__allweek__night__text__kurtosis,-0.0008903031625875217
249,interevent_time__allweek__night__text__max,-0.13035263776175382
250,interevent_time__weekday__allday__call__skewness,-0.2084223434520517
251,interevent_time__weekday__allday__call__max,-0.02404473033587626
252,interevent_time__weekday__allday__text__mean,0.153954816917384
253,interevent_time__weekday__allday__text__std,0.26054795607500697
254,interevent_time__weekday__allday__text__skewness,-0.1591385284266982
255,interevent_time__weekday__allday__text__kurtosis,-0.04879531921771162
256,interevent_time__weekday__day__call__mean,-0.10879702975229062
257,interevent_time__weekday__day__call__kurtosis,-0.05314003708789951
258,interevent_time__weekday__day__call__min,0.08984359210621036
259,interevent_time__weekday__day__text__mean,-0.1987319880019542
260,interevent_time__weekday__day__text__kurtosis,-0.012908000253993723
261,interevent_time__weekday__day__text__min,-0.2427697450888599
262,interevent_time__weekday__night__call__median,0.17667283862763916
263,interevent_time__weekday__night__call__kurtosis,-0.05901097975259914
264,interevent_time__weekday__night__call__min,0.11230933711011097
265,interevent_time__weekday__night__call__max,0.022072542909184804
266,interevent_time__weekday__night__text__median,-0.16160875719928244
267,interevent_time__weekday__night__text__kurtosis,-0.03759762292654762
268,interevent_time__weekday__night__text__min,-0.06048280929902287
269,interevent_time__weekday__night__text__max,0.19389786601704243
270,interevent_time__weekend__allday__call__median,-0.03784389867063007
271,interevent_time__weekend__allday__call__skewness,-0.015531325812982083
272,interevent_time__weekend__allday__text__skewness,0.0789364185270714
273,interevent_time__weekend__allday__text__kurtosis,-0.049069566013911395
274,interevent_time__weekend__day__call__mean,-0.1323541570441527
275,interevent_time__weekend__day__text__mean,-0.02654560637224954
276,interevent_time__weekend__day__text__std,-0.04147208030177925
277,interevent_time__weekend__day__text__median,0.11831199817741264
278,interevent_time__weekend__day__text__skewness,0.03298298759106471
279,interevent_time__weekend__day__text__kurtosis,0.11186715201950906
280,interevent_time__weekend__day__text__min,0.08820236594006614
281,interevent_time__weekend__night__call__std,-0.05079259408239344
282,interevent_time__weekend__night__call__skewness,-0.10599409199501898
283,interevent_time__weekend__night__call__max,0.06938510806457299
284,interevent_time__weekend__night__text__median,0.09888918063833799
285,interevent_time__weekend__night__text__max,0.33598476740547806
286,percent_pareto_interactions__allweek__allday__text,-0.18201454424560123
287,percent_pareto_interactions__allweek__day__call,-0.01911458617291709
288,percent_pareto_interactions__allweek__night__call,0.09516751192290661
