,Asset,Magnitude
0,asset_radio_cd_player,0.3851913762141979
1,asset_tv,-0.365258377035622
2,asset_tv_dish,0.29623699117989166
3,asset_vcr_dvd_player,0.17845822874291392
4,asset_refridgerator,0.01605066135404722
5,asset_generator,0.1716784826272596
6,asset_matress,0.279174045181151
7,asset_mobile_phone,-0.2757885818686868
8,asset_non_mobile_phone,0.06523714932107004
9,asset_iron,-0.2713557336518986
10,asset_bed_frame,0.11522277847206074
11,asset_jewelry,0.19222396575372366
12,asset_mosquito_net,0.4014266214317998
13,asset_mosquito_repellent_candle,-0.2882895280704692
14,asset_fan,-0.18067820009505106
15,asset_camera,0.0993310370531354
