,Asset Index,Consumption,CDR,Combined
Asset Index,100.00%,19.05%,0.00%,48.81%
Consumption,18.39%,100.00%,32.18%,45.98%
CDR,0.00%,31.11%,100.00%,18.89%
Combined,42.27%,41.24%,17.53%,100.00%
