Targeting Method,AUC
Asset Index,0.50 (0.03)
Consumption,0.49 (0.03)
CDR,0.50 (0.03)
Assets + Consumption,0.37 (0.03)
Assets + CDR,0.40 (0.03)
Consumption + CDR,0.36 (0.03)
Assets + Consumption + CDR,0.35 (0.03)
