,feature,importance
120,balance_of_contacts__allweek__day__call__min,0.0
121,balance_of_contacts__allweek__day__text__min,0.0
122,balance_of_contacts__allweek__day__text__max,0.0
123,balance_of_contacts__allweek__night__call__skewness,0.0
124,balance_of_contacts__allweek__night__call__min,0.0
125,balance_of_contacts__allweek__night__call__max,0.0
126,balance_of_contacts__allweek__night__text__mean,0.0
127,balance_of_contacts__allweek__night__text__std,0.0
128,balance_of_contacts__allweek__night__text__median,0.0
129,balance_of_contacts__allweek__night__text__skewness,0.0
130,balance_of_contacts__allweek__night__text__min,0.0
131,balance_of_contacts__weekday__allday__call__mean,0.0
132,balance_of_contacts__weekday__allday__call__std,0.0
133,balance_of_contacts__weekday__allday__call__median,0.0
134,balance_of_contacts__weekday__allday__text__mean,0.0
135,balance_of_contacts__weekday__allday__text__std,0.0
136,balance_of_contacts__weekday__allday__text__median,0.021812635781544118
137,balance_of_contacts__weekday__day__call__std,0.0
138,balance_of_contacts__weekday__day__call__median,0.0
139,balance_of_contacts__weekday__day__call__min,0.0
140,balance_of_contacts__weekday__day__text__mean,0.011497275026239501
141,balance_of_contacts__weekday__day__text__median,0.0
142,balance_of_contacts__weekday__day__text__kurtosis,0.0
143,balance_of_contacts__weekday__day__text__min,0.0052775929022055605
144,balance_of_contacts__weekday__night__call__mean,0.0
145,balance_of_contacts__weekday__night__call__std,0.0
146,balance_of_contacts__weekday__night__call__skewness,0.0
147,balance_of_contacts__weekday__night__call__max,0.0
148,balance_of_contacts__weekday__night__text__mean,0.0
149,balance_of_contacts__weekday__night__text__std,0.019519134096786548
150,balance_of_contacts__weekday__night__text__median,0.0
151,balance_of_contacts__weekday__night__text__kurtosis,0.0
152,balance_of_contacts__weekday__night__text__min,0.0
153,balance_of_contacts__weekend__allday__call__std,0.0
154,balance_of_contacts__weekend__allday__call__skewness,0.0
155,balance_of_contacts__weekend__allday__call__kurtosis,0.0
156,balance_of_contacts__weekend__allday__text__std,0.0
157,balance_of_contacts__weekend__allday__text__median,0.0
158,balance_of_contacts__weekend__allday__text__kurtosis,0.0
159,balance_of_contacts__weekend__day__call__std,0.0
160,balance_of_contacts__weekend__day__call__kurtosis,0.0
161,balance_of_contacts__weekend__day__call__min,0.0
162,balance_of_contacts__weekend__day__text__mean,0.0
163,balance_of_contacts__weekend__day__text__std,0.0
164,balance_of_contacts__weekend__day__text__median,0.0
165,balance_of_contacts__weekend__day__text__min,0.007798285746739385
166,balance_of_contacts__weekend__day__text__max,0.006837272847750883
167,balance_of_contacts__weekend__night__call__mean,0.0
168,balance_of_contacts__weekend__night__call__std,0.0
169,balance_of_contacts__weekend__night__call__skewness,0.013673954471984646
170,balance_of_contacts__weekend__night__call__kurtosis,0.0
171,balance_of_contacts__weekend__night__text__median,0.0
172,balance_of_contacts__weekend__night__text__skewness,0.007757070792166303
173,balance_of_contacts__weekend__night__text__kurtosis,0.0
174,balance_of_contacts__weekend__night__text__min,0.0
175,interactions_per_contact__allweek__allday__call__skewness,0.0
176,interactions_per_contact__allweek__allday__text__skewness,0.0
177,interactions_per_contact__allweek__allday__text__kurtosis,0.0036255176604362877
178,interactions_per_contact__allweek__allday__text__min,0.03381950925733264
179,interactions_per_contact__allweek__day__call__std,0.0
180,interactions_per_contact__allweek__day__call__median,0.0
181,interactions_per_contact__allweek__day__text__mean,0.0
182,interactions_per_contact__allweek__day__text__std,0.0
183,interactions_per_contact__allweek__day__text__median,0.0
184,interactions_per_contact__allweek__day__text__max,0.0
185,interactions_per_contact__allweek__night__call__std,0.0
186,interactions_per_contact__allweek__night__call__skewness,0.01312338945675826
