,feature,importance
105,entropy_of_contacts__weekday__allday__call,0.08879530868457734
106,entropy_of_contacts__weekday__allday__text,0.24011107726540523
107,entropy_of_contacts__weekday__day__text,-0.038632584317565735
108,entropy_of_contacts__weekday__night__call,0.014940215286008236
109,entropy_of_contacts__weekday__night__text,0.10488092662185462
110,entropy_of_contacts__weekend__allday__call,0.38757902101234853
111,entropy_of_contacts__weekend__allday__text,-0.00944094525232999
112,balance_of_contacts__allweek__allday__call__skewness,-0.014845666171330318
113,balance_of_contacts__allweek__allday__call__max,0.033507842418260825
114,balance_of_contacts__allweek__allday__text__mean,-0.036460174671710525
115,balance_of_contacts__allweek__allday__text__std,0.10452339863215404
116,balance_of_contacts__allweek__allday__text__min,0.051608761440378695
117,balance_of_contacts__allweek__day__call__std,0.0362730631951509
118,balance_of_contacts__allweek__day__call__skewness,0.02599412066957045
119,balance_of_contacts__allweek__day__call__kurtosis,0.004131933857069023
120,balance_of_contacts__allweek__day__call__min,-0.06331643934867483
121,balance_of_contacts__allweek__day__text__min,0.06267374353522508
122,balance_of_contacts__allweek__day__text__max,0.06913138730491458
123,balance_of_contacts__allweek__night__call__skewness,0.17894617383137962
124,balance_of_contacts__allweek__night__call__min,0.3438139242569296
125,balance_of_contacts__allweek__night__call__max,0.2905818475589221
126,balance_of_contacts__allweek__night__text__mean,-0.04666428052665108
127,balance_of_contacts__allweek__night__text__std,0.04765298203517136
128,balance_of_contacts__allweek__night__text__median,-0.1496188550770956
129,balance_of_contacts__allweek__night__text__skewness,0.1470140798184866
130,balance_of_contacts__allweek__night__text__min,0.20698179013354057
131,balance_of_contacts__weekday__allday__call__mean,-0.2436137370145818
132,balance_of_contacts__weekday__allday__call__std,0.09493042724170866
133,balance_of_contacts__weekday__allday__call__median,0.322566842781309
134,balance_of_contacts__weekday__allday__text__mean,0.1251841973695326
135,balance_of_contacts__weekday__allday__text__std,-0.0203604808016941
136,balance_of_contacts__weekday__allday__text__median,-0.048962416996439606
137,balance_of_contacts__weekday__day__call__std,-0.026067497684443674
138,balance_of_contacts__weekday__day__call__median,0.14634778426146478
139,balance_of_contacts__weekday__day__call__min,-0.04724812828810489
140,balance_of_contacts__weekday__day__text__mean,-0.09369958930760688
141,balance_of_contacts__weekday__day__text__median,-0.04151254528538511
142,balance_of_contacts__weekday__day__text__kurtosis,0.18386175226911128
143,balance_of_contacts__weekday__day__text__min,0.11123963786843617
144,balance_of_contacts__weekday__night__call__mean,0.17173373047334858
145,balance_of_contacts__weekday__night__call__std,0.08204849338118955
146,balance_of_contacts__weekday__night__call__skewness,-0.020448447307901393
147,balance_of_contacts__weekday__night__call__max,0.028807383144823423
148,balance_of_contacts__weekday__night__text__mean,0.0033433507774358294
149,balance_of_contacts__weekday__night__text__std,0.252369892635453
150,balance_of_contacts__weekday__night__text__median,0.16600992317719834
151,balance_of_contacts__weekday__night__text__kurtosis,-0.11046930546947566
152,balance_of_contacts__weekday__night__text__min,-0.2000985569924296
153,balance_of_contacts__weekend__allday__call__std,0.07839977974824203
154,balance_of_contacts__weekend__allday__call__skewness,0.0012958849277498637
155,balance_of_contacts__weekend__allday__call__kurtosis,-0.18587685677966997
156,balance_of_contacts__weekend__allday__text__std,0.14160520413103309
157,balance_of_contacts__weekend__allday__text__median,0.10728521637138144
158,balance_of_contacts__weekend__allday__text__kurtosis,0.30014960305607735
159,balance_of_contacts__weekend__day__call__std,-0.032274740156946126
160,balance_of_contacts__weekend__day__call__kurtosis,0.04196796274812537
161,balance_of_contacts__weekend__day__call__min,-0.27630661010145446
162,balance_of_contacts__weekend__day__text__mean,-0.024310428794145952
163,balance_of_contacts__weekend__day__text__std,0.042100578009622004
164,balance_of_contacts__weekend__day__text__median,-0.2162211956771285
165,balance_of_contacts__weekend__day__text__min,0.0890806871957267
166,balance_of_contacts__weekend__day__text__max,0.08840074092092952
167,balance_of_contacts__weekend__night__call__mean,0.11449246025704814
168,balance_of_contacts__weekend__night__call__std,-0.2033571226505956
169,balance_of_contacts__weekend__night__call__skewness,-0.249986558953493
170,balance_of_contacts__weekend__night__call__kurtosis,-0.08584565869225731
171,balance_of_contacts__weekend__night__text__median,0.05331122088670142
172,balance_of_contacts__weekend__night__text__skewness,0.10536108680388445
173,balance_of_contacts__weekend__night__text__kurtosis,-0.05656627971071987
174,balance_of_contacts__weekend__night__text__min,-0.3051494404778201
175,interactions_per_contact__allweek__allday__call__skewness,0.3402213538316421
176,interactions_per_contact__allweek__allday__text__skewness,0.04984712027005411
177,interactions_per_contact__allweek__allday__text__kurtosis,0.220126239553541
178,interactions_per_contact__allweek__allday__text__min,-0.07706716877380003
179,interactions_per_contact__allweek__day__call__std,-0.1881666789012645
180,interactions_per_contact__allweek__day__call__median,0.16828454010216706
181,interactions_per_contact__allweek__day__text__mean,0.2291748028454227
182,interactions_per_contact__allweek__day__text__std,-0.16616980395757178
183,interactions_per_contact__allweek__day__text__median,0.17744576929961645
184,interactions_per_contact__allweek__day__text__max,-0.2891444689115291
185,interactions_per_contact__allweek__night__call__std,0.043680143797595154
186,interactions_per_contact__allweek__night__call__skewness,-0.17580466559073196
187,interactions_per_contact__allweek__night__call__kurtosis,-0.1459239340349673
188,interactions_per_contact__allweek__night__text__mean,-0.04562314595858857
189,interactions_per_contact__allweek__night__text__median,-0.2890188390371295
190,interactions_per_contact__allweek__night__text__min,0.20091886054765376
191,interactions_per_contact__allweek__night__text__max,0.24693252710433408
192,interactions_per_contact__weekday__allday__call__skewness,-0.014987557924633035
193,interactions_per_contact__weekday__allday__call__kurtosis,-0.14937025198870593
194,interactions_per_contact__weekday__allday__call__max,0.17137007202644985
195,interactions_per_contact__weekday__allday__text__std,0.10977955873840305
196,interactions_per_contact__weekday__allday__text__kurtosis,0.2543629145656421
197,interactions_per_contact__weekday__allday__text__max,0.19870513087862277
198,interactions_per_contact__weekday__day__call__mean,0.004138999055662771
199,interactions_per_contact__weekday__day__call__std,0.06455241719583127
200,interactions_per_contact__weekday__day__call__kurtosis,0.17970304816459448
201,interactions_per_contact__weekday__day__text__median,0.0005983437673803857
202,interactions_per_contact__weekday__day__text__kurtosis,0.029496706074060686
203,interactions_per_contact__weekday__day__text__min,-0.06108963394650795
204,interactions_per_contact__weekday__night__call__mean,0.04680993106036403
205,interactions_per_contact__weekday__night__call__std,-0.009399976522210732
206,interactions_per_contact__weekday__night__call__median,0.053307798065218105
207,interactions_per_contact__weekday__night__call__skewness,-0.1145870906412815
208,interactions_per_contact__weekday__night__text__mean,-0.0873489269232884
